répond au tchat du chef de l’ église avec un SMS	[IN:SEND_MESSAGE [SL:GROUP chef de l’ église SL:GROUP] IN:SEND_MESSAGE]
Programmez une alarme pour 9h du matin tous les samedis	[IN:CREATE_ALARM [SL:DATE_TIME pour 9h du matin tous les samedis SL:DATE_TIME] IN:CREATE_ALARM]
Mettre une alarme de coucher à 2h du matin	[IN:CREATE_ALARM [SL:ALARM_NAME coucher SL:ALARM_NAME] [SL:DATE_TIME à 2h du matin SL:DATE_TIME] IN:CREATE_ALARM]
Règle une alarme " l' heure de se coucher " ce soir à 20 heures	[IN:CREATE_ALARM [SL:ALARM_NAME l' heure de se coucher SL:ALARM_NAME] [SL:DATE_TIME ce soir à 20 heures SL:DATE_TIME] IN:CREATE_ALARM]
Règle une alarme de détente maintenant	[IN:CREATE_ALARM [SL:ALARM_NAME détente SL:ALARM_NAME] IN:CREATE_ALARM]
Programme une alarme de réveil pour vendredi	[IN:CREATE_ALARM [SL:ALARM_NAME réveil SL:ALARM_NAME] [SL:DATE_TIME pour vendredi SL:DATE_TIME] IN:CREATE_ALARM]
Mettez - moi une alarme qui s' appelle ' lève - toi pour aller travailler ' pour 7h demain matin	[IN:CREATE_ALARM [SL:ALARM_NAME lève - toi pour aller travailler SL:ALARM_NAME] [SL:DATE_TIME pour 7h demain matin SL:DATE_TIME] IN:CREATE_ALARM]
Supprime mes 3 prochains réveils	[IN:DELETE_ALARM [SL:ORDINAL prochains SL:ORDINAL] [SL:AMOUNT 3 SL:AMOUNT] IN:DELETE_ALARM]
Crée une nouvelle alarme pour demain soir .	[IN:CREATE_ALARM [SL:DATE_TIME pour demain soir SL:DATE_TIME] IN:CREATE_ALARM]
Programme une alarme ce matin	[IN:CREATE_ALARM [SL:DATE_TIME ce matin SL:DATE_TIME] IN:CREATE_ALARM]
Ajoutez Hélène à cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Hélène SL:CONTACT_ADDED] IN:UPDATE_CALL]
c’était de qui l’ appel manqué de ce matin ?	[IN:GET_CALL_CONTACT [SL:DATE_TIME de ce matin SL:DATE_TIME] IN:GET_CALL_CONTACT]
Qui m’ a appelé à midi ?	[IN:GET_CALL_CONTACT [SL:DATE_TIME à midi SL:DATE_TIME] IN:GET_CALL_CONTACT]
Quand exactement ai - je appelé maman hier soir et à quelle heure ?	[IN:GET_CALL_TIME [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:DATE_TIME hier soir SL:DATE_TIME] IN:GET_CALL_TIME]
Debbie est - elle disponible en ce moment ?	[IN:GET_AVAILABILITY [SL:CONTACT Debbie SL:CONTACT] IN:GET_AVAILABILITY]
Je veux appeler ma femme	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED ma SL:CONTACT_RELATED] [SL:TYPE_RELATION femme SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelez mon Papa	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED mon SL:CONTACT_RELATED] [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle Genny	[IN:CREATE_CALL [SL:CONTACT Genny SL:CONTACT] IN:CREATE_CALL]
Appelle ma tante	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
passe d’ appel audio en appel vidéo	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
passer à appel audio	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Retire Kate de l' appel vidéo	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Kate SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Jouez l' album X ( version japonaise ) sur iheartradio	[IN:PLAY_MUSIC [SL:MUSIC_TYPE album SL:MUSIC_TYPE] [SL:MUSIC_ALBUM_TITLE X [ version japonaise  ] SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Joue Metallica sur iheartradio	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Metallica SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME iheartradio SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Joue de la musique de J Guitar Pop .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE J Guitar Pop SL:MUSIC_GENRE] [SL:MUSIC_TYPE musique SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Joue de la musique métal gothique .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE métal gothique SL:MUSIC_GENRE] [SL:MUSIC_TYPE musique SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Joue toutes les chansons par Tee Grizzley .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE chansons SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Tee Grizzley SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Peux - tu me jouer le premier album de NF ?	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME NF SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE album SL:MUSIC_TYPE] IN:PLAY_MUSIC]
je veux écouter du Kanye West	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kanye West SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Joue - moi l’ album d’ Anderson Paak .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Anderson Paak SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE album SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Jouez l' album Happier	[IN:PLAY_MUSIC [SL:MUSIC_ALBUM_TITLE Happier SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_TYPE album SL:MUSIC_TYPE] IN:PLAY_MUSIC]
appelle Enid Requa , droit oui	[IN:CREATE_CALL [SL:CONTACT Enid Requa SL:CONTACT] IN:CREATE_CALL]
Appelez la nièce de Candy Boykin	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Candy Boykin SL:CONTACT_RELATED]     [SL:TYPE_RELATION nièce SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelez la maman de Lia	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Lia SL:CONTACT_RELATED]     [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appeler l' ami d' Earnestine Kirkpatric	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Earnestine Kirkpatric SL:CONTACT_RELATED]     [SL:TYPE_RELATION ami SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle la nièce de Natalie	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Natalie SL:CONTACT_RELATED]     [SL:TYPE_RELATION nièce SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle la tante de Briella	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Briella SL:CONTACT_RELATED]     [SL:TYPE_RELATION tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle la tante de Lorenzo Lenard Laurelli	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Lorenzo Lenard Laurelli SL:CONTACT_RELATED]     [SL:TYPE_RELATION tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appel le petit - fils de Jamie	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Jamie SL:CONTACT_RELATED]     [SL:TYPE_RELATION petit - fils SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle le frère de Vena Deangelo Vranicar	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Vena Deangelo Vranicar SL:CONTACT_RELATED]     [SL:TYPE_RELATION frère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
trouve - moi Eve	[IN:CREATE_CALL [SL:CONTACT Eve SL:CONTACT] IN:CREATE_CALL]
Trouve - moi des matchs de tennis à Seattle ce mois - ci	[IN:GET_EVENT [SL:CATEGORY_EVENT matchs de tennis SL:CATEGORY_EVENT] [SL:LOCATION Seattle SL:LOCATION] [SL:DATE_TIME ce mois - ci SL:DATE_TIME] IN:GET_EVENT]
Y a - t - il un match de softball le mardi	[IN:GET_EVENT [SL:CATEGORY_EVENT match de softball SL:CATEGORY_EVENT] [SL:DATE_TIME le mardi SL:DATE_TIME] IN:GET_EVENT]
Y a - t - il des matchs de baseball demain soir	[IN:GET_EVENT [SL:CATEGORY_EVENT matchs de baseball SL:CATEGORY_EVENT] [SL:DATE_TIME demain soir SL:DATE_TIME] IN:GET_EVENT]
ajoute Kaylee	[IN:UPDATE_CALL [SL:CONTACT_ADDED Kaylee SL:CONTACT_ADDED] IN:UPDATE_CALL]
température F	[IN:GET_WEATHER [SL:WEATHER_TEMPERATURE_UNIT F SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
Ça fait combien de degrés en Kelvin ?	[IN:GET_WEATHER [SL:WEATHER_TEMPERATURE_UNIT Kelvin SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
Lequel des beaux - pères de Kerry Austin a son anniversaire bientôt ?	[IN:GET_CONTACT [SL:CONTACT_RELATED Kerry Austin SL:CONTACT_RELATED] [SL:TYPE_RELATION beaux - pères SL:TYPE_RELATION] IN:GET_CONTACT]
Qui cette Yulanda sait - elle être né le 11 mai ?	[IN:GET_CONTACT [SL:CONTACT_RELATED Yulanda SL:CONTACT_RELATED] [SL:DATE_TIME le 11 mai SL:DATE_TIME] IN:GET_CONTACT]
Affiche les anniversaires à venir des cousins de Luisa D . Kauk	[IN:GET_CONTACT [SL:CONTACT_RELATED Luisa D . Kauk SL:CONTACT_RELATED] [SL:TYPE_RELATION cousins SL:TYPE_RELATION] IN:GET_CONTACT]
Qui est - ce que Sherman Logan connait qui est né en janvier ?	[IN:GET_CONTACT [SL:CONTACT_RELATED Sherman Logan SL:CONTACT_RELATED] [SL:DATE_TIME en janvier SL:DATE_TIME] IN:GET_CONTACT]
Quels sont les anniversaires à venir pour le 29 ?	[IN:GET_CONTACT [SL:DATE_TIME pour le 29 SL:DATE_TIME] IN:GET_CONTACT]
Appelle Jenna Pierce	[IN:CREATE_CALL [SL:CONTACT Jenna Pierce SL:CONTACT] IN:CREATE_CALL]
Supprime le rappel pour réparer mon séchoir , s’ il te plaît	[IN:DELETE_REMINDER [SL:TODO réparer mon séchoir SL:TODO] IN:DELETE_REMINDER]
Rappelle - moi de sortir les poubelles	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:TODO sortir les poubelles SL:TODO] IN:CREATE_REMINDER]
Rappelle - moi d' éteindre la cuisinière	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:TODO éteindre la cuisinière SL:TODO] IN:CREATE_REMINDER]
Rappelle - moi demain matin	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:DATE_TIME demain matin SL:DATE_TIME] IN:CREATE_REMINDER]
Programmez un rappel concernant le vol de ma femme qui arrive dans l' après - midi	[IN:CREATE_REMINDER [SL:TODO le vol de ma femme qui arrive SL:TODO] [SL:DATE_TIME dans l' après - midi SL:DATE_TIME] IN:CREATE_REMINDER]
Envoie un rappel à Haley de faire la vaisselle	[IN:SEND_MESSAGE [SL:RECIPIENT Haley SL:RECIPIENT] [SL:CONTENT_EXACT faire la vaisselle SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Jose et demande - lui s’ il a arrosé mon rosier	[IN:SEND_MESSAGE [SL:RECIPIENT Jose SL:RECIPIENT] [SL:CONTENT_EXACT il a arrosé mon rosier SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Demande à Betsy le temps de trajet en voiture de chez moi à chez elle	[IN:SEND_MESSAGE [SL:RECIPIENT Betsy SL:RECIPIENT] [SL:CONTENT_EXACT   le   temps   de   trajet   en   voiture   de   chez   moi   à   chez   elle SL:CONTENT_EXACT] IN:SEND_MESSAGE]
ENVOIE UN MESSAGE A DENNIE ET DIS - LA QUE J’ AIMERAIS LA RETROUVER POUR DEJEUNER DEMAIN .	[IN:SEND_MESSAGE [SL:RECIPIENT DENNIE SL:RECIPIENT] [SL:CONTENT_EXACT J’ AIMERAIS LA RETROUVER POUR DEJEUNER DEMAIN SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Merci de me rappeler de promener le chien	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO promener le chien SL:TODO] IN:CREATE_REMINDER]
Je veux que tu ajoutes Phillip à cette appel vidéo en cours	[IN:UPDATE_CALL [SL:CONTACT_ADDED Phillip SL:CONTACT_ADDED] IN:UPDATE_CALL]
Efface les rappels de cette semaine de vendredi à dimanche , s' il te plaît	[IN:DELETE_REMINDER [SL:DATE_TIME de cette semaine de vendredi à dimanche SL:DATE_TIME] IN:DELETE_REMINDER]
Le rappel pour le film Alien 2 doit se déclencher à 19h30 ce soir .	[IN:CREATE_REMINDER [SL:TODO le film Alien 2 SL:TODO] [SL:DATE_TIME à 19h30 ce soir SL:DATE_TIME] IN:CREATE_REMINDER]
Lisez les messages d' un statut différent ,	[IN:GET_MESSAGE  IN:GET_MESSAGE]
essaye d' appeler Ng Angelica	[IN:CREATE_CALL [SL:CONTACT Ng Angelica SL:CONTACT] IN:CREATE_CALL]
Essaye de passer un appel à Sakura Kerry	[IN:CREATE_CALL [SL:CONTACT Sakura Kerry SL:CONTACT] IN:CREATE_CALL]
Je veux que l' on réponde à l' appel vidéo	[IN:ANSWER_CALL  IN:ANSWER_CALL]
J’ aimerais parler avec Angelica lara	[IN:CREATE_CALL [SL:CONTACT Angelica lara SL:CONTACT] IN:CREATE_CALL]
Aucun de mes amis en ligne actuellement ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Brooke est - elle en ligne ?	[IN:GET_AVAILABILITY [SL:CONTACT Brooke SL:CONTACT] IN:GET_AVAILABILITY]
S’ il te plait ne répond pas à l’ appel	[IN:IGNORE_CALL  IN:IGNORE_CALL]
Dis - moi si Carla de mon groupe entrepreneur est en ligne ?	[IN:GET_AVAILABILITY [SL:CONTACT Carla SL:CONTACT] IN:GET_AVAILABILITY]
pas maintenant s’ il te plait	[IN:IGNORE_CALL  IN:IGNORE_CALL]
ajoute Janice à l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Janice SL:CONTACT_ADDED] IN:UPDATE_CALL]
Qui que je connais est connecté ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
mes amis en GA en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
est - ce que sam est connecté ?	[IN:GET_AVAILABILITY [SL:CONTACT sam SL:CONTACT] IN:GET_AVAILABILITY]
Est - ce que quelqu'un s' est inscrit ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
qui est connecté en ligne a l’ instant	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Lister tous ceux que je connais qui sont connectés .	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Qui vient de se connecter ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Quels sont mes amis en ligne ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
certains correspondants en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Peux - tu appeler Cade	[IN:CREATE_CALL [SL:CONTACT Cade SL:CONTACT] IN:CREATE_CALL]
Est - ce que mes amis sont en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Je ne suis pas joignable .	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Dites - moi qui vient de se mettre en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Je veux appeler John maintenant	[IN:CREATE_CALL [SL:CONTACT John SL:CONTACT] IN:CREATE_CALL]
mettre l' appel en pause et passer au nouvel appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Changez la configuration de disponibilité à indisponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Je suis libre et ouvert toute la journée	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Faites arrêter l' appel	[IN:END_CALL  IN:END_CALL]
ferme l’ appel	[IN:END_CALL  IN:END_CALL]
Prends un nouvel appel	[IN:ANSWER_CALL  IN:ANSWER_CALL]
Ignore l’ Appel Entrant	[IN:IGNORE_CALL  IN:IGNORE_CALL]
Ajoute un ami à l' appel	[IN:UPDATE_CALL  IN:UPDATE_CALL]
joint un autre appel avec celui - ci	[IN:MERGE_CALL  IN:MERGE_CALL]
Arrête l’ appel maintenant	[IN:END_CALL  IN:END_CALL]
Montrez disponible	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Je ne suis pas occupé	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
fin d' appel	[IN:END_CALL  IN:END_CALL]
qui est dispo	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Régler comme absent	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
je voulais faire un appel téléphonique	[IN:CREATE_CALL  IN:CREATE_CALL]
termine l' appel immédiatement	[IN:END_CALL  IN:END_CALL]
quitter l' appel et rejoindre le nouvel appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
montre - moi qui est disponible	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
rends - moi disponible	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Changez mon statut à occupé	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
définis mon statut comme indisponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Dites - moi quels contacts sont disponibles	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Fin de session	[IN:END_CALL  IN:END_CALL]
quitter cet appel et passer au nouvel appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Je suis disponible pour le moment	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Montre - moi tous ceux qui sont disponibles	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
merci de me passer sur l' autre appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Ajoute Jason à l’ appel aussi	[IN:UPDATE_CALL [SL:CONTACT_ADDED Jason SL:CONTACT_ADDED] IN:UPDATE_CALL]
Appelle Jessica	[IN:CREATE_CALL [SL:CONTACT Jessica SL:CONTACT] IN:CREATE_CALL]
Mettez Papa aussi pour l' appeler	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ajoute Melissa à l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Melissa SL:CONTACT_ADDED] IN:UPDATE_CALL]
rejoindre Pam avec un appel	[IN:CREATE_CALL [SL:CONTACT Pam SL:CONTACT] IN:CREATE_CALL]
Bascule les appels parce que le téléphone de madame Sawyer ne marche pas	[IN:SWITCH_CALL [SL:CONTACT madame Sawyer SL:CONTACT] IN:SWITCH_CALL]
ajouter Jason à l' appel également	[IN:UPDATE_CALL [SL:CONTACT_ADDED Jason SL:CONTACT_ADDED] IN:UPDATE_CALL]
quitte cette discussion et passe à l’ appel entrant de ma demi - sœur Joe	[IN:SWITCH_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION demi - sœur SL:TYPE_RELATION]     [SL:CONTACT Joe SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:SWITCH_CALL]
Appelle mes frangins	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION frangins SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
démarre un appel à maman	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Veuillez appeler mes tantes	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION tantes SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Je veux placer un appel à ma mamie joe	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION mamie SL:TYPE_RELATION]     [SL:CONTACT joe SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
J' ai besoin de parler à mes sœurs , appelle - le maintenant s' il te plaît	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION sœurs SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle mon petit - enfant .	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mon SL:CONTACT_RELATED]     [SL:TYPE_RELATION petit - enfant SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
lance un appel avec les belles - sœurs	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION belles - sœurs SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Ajouter demi - sœurs à cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION demi - sœurs SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Mes enfants sont - ils en ligne ?	[IN:GET_AVAILABILITY [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION enfants SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_AVAILABILITY]
Inclus les beaux - enfants Patti à l’ appel vidéo	[IN:UPDATE_CALL [SL:CONTACT_ADDED   [IN:GET_CONTACT     [SL:TYPE_RELATION beaux - enfants SL:TYPE_RELATION]     [SL:CONTACT Patti SL:CONTACT] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
invite demi - frères à rejoindre l’ appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED   [IN:GET_CONTACT [SL:TYPE_RELATION demi - frères SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
ignorer les appels de ma mamie	[IN:IGNORE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED ma SL:CONTACT_RELATED] [SL:TYPE_RELATION mamie SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:IGNORE_CALL]
décroche l' appel de ma nièce	[IN:ANSWER_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED ma SL:CONTACT_RELATED] [SL:TYPE_RELATION nièce SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:ANSWER_CALL]
Commencez à appeler mes filles maintenant	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION filles SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle mes filles	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION filles SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Envoyer un message à papa pour lui dire que je suis à l' épicerie en ce moment et que je rentre bientôt	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT   je   suis   à   l'   épicerie   en   ce   moment   et   que   je   rentre   bientôt SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à maman et dis - lui que mon avion sera en retard d' au moins 2 heures sur Austin , Texas	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT   mon   avion   sera   en   retard   d'   au   moins   2   heures   sur   Austin   ,   Texas SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Leah pour lui rappeler que les journées familiales sont dans deux semaines et que son acompte est dû	[IN:SEND_MESSAGE [SL:RECIPIENT Leah SL:RECIPIENT] [SL:CONTENT_EXACT   les   journées   familiales   sont   dans   deux   semaines   et   que   son   acompte   est   dû SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à carol et demande - lui où exactement je devrai la voir pour prendre un café dans trois jours	[IN:SEND_MESSAGE [SL:RECIPIENT carol SL:RECIPIENT] [SL:CONTENT_EXACT   où   exactement   je   devrai   la   voir   pour   prendre   un   café   dans   trois   jours SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Dis à Kennedy de m' envoyer sa localisation	[IN:SEND_MESSAGE [SL:RECIPIENT Kennedy SL:RECIPIENT] [SL:CONTENT_EXACT m' envoyer sa localisation SL:CONTENT_EXACT] IN:SEND_MESSAGE]
dis a john jacob que je ne veux pas qu' on se retrouve ailleurs qu' au Quail Springs Mall	[IN:SEND_MESSAGE [SL:RECIPIENT john jacob SL:RECIPIENT] [SL:CONTENT_EXACT   je   ne   veux   pas   qu'   on   se   retrouve   ailleurs   qu'   au   Quail   Springs   Mall SL:CONTENT_EXACT] IN:SEND_MESSAGE]
envoie un message à Angela pour lui dire que le marathon de films aura lieu chez Gloria à Overland Park	[IN:SEND_MESSAGE [SL:RECIPIENT Angela SL:RECIPIENT] [SL:CONTENT_EXACT   le   marathon   de   films   aura   lieu   chez   Gloria   à   Overland   Park SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message aux amis de Bill pour dire qu’ on lui fera une fête surprise le 1er pour son 50eme anniversaire a VFW Hall a Irvine , Kentucky	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Bill SL:CONTACT_RELATED]     [SL:TYPE_RELATION amis SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT   on   lui   fera   une   fête   surprise   le   1er   pour   son   50eme   anniversaire   a   VFW   Hall   a   Irvine   ,   Kentucky SL:CONTENT_EXACT] IN:SEND_MESSAGE]
