Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Wie lange braucht laut Rezept die Vorbereitung	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:METHOD_RECIPES Rezept SL:METHOD_RECIPES] IN:GET_INFO_RECIPES]
Suche ein Tomatensoße - Rezept	[IN:GET_RECIPES [SL:RECIPES_DISH Tomatensoße SL:RECIPES_DISH] IN:GET_RECIPES]
Wie viele Esslöffel sind ein gewöhnliches Stück Butter	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_MEASUREMENT Esslöffel SL:RECIPES_UNIT_MEASUREMENT] [SL:RECIPES_INCLUDED_INGREDIENT Butter SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Welche Art von Öl ist das gesündeste	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Öl SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Ich möchte ein gutes Rezept für Krautsalat haben	[IN:GET_RECIPES [SL:RECIPES_RATING gutes SL:RECIPES_RATING] [SL:RECIPES_DISH Krautsalat SL:RECIPES_DISH] IN:GET_RECIPES]
Wie brate ich ein Steak Medium Rare in der Pfanne	[IN:GET_INFO_RECIPES [SL:RECIPES_COOKING_METHOD brate in der Pfanne SL:RECIPES_COOKING_METHOD] [SL:RECIPES_ATTRIBUTE Medium Rare SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Steak SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie schält man eine Möhre	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Möhre SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Zeig mir einfache , gesunde Langsam - Kocher - Rezepte	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE einfache SL:RECIPES_ATTRIBUTE] [SL:RECIPES_ATTRIBUTE gesunde SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD Langsam - Kocher SL:RECIPES_COOKING_METHOD] IN:GET_RECIPES]
Rezept für Krautsalat ohne Zucker	[IN:GET_RECIPES [SL:RECIPES_DISH Krautsalat SL:RECIPES_DISH] [SL:RECIPES_EXCLUDED_INGREDIENT Zucker SL:RECIPES_EXCLUDED_INGREDIENT] IN:GET_RECIPES]
Wie viel Zucker gibt man zu Chocolate Chip Cookies	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viel SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Zucker SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Chocolate Chip Cookies SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie viele Becher Milch gibt man in Makkaroni und Käse	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_MEASUREMENT Becher SL:RECIPES_UNIT_MEASUREMENT] [SL:RECIPES_INCLUDED_INGREDIENT Milch SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Makkaroni und Käse SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Was ist das beste Rezept für Hühnchensalat	[IN:GET_RECIPES [SL:RECIPES_RATING beste SL:RECIPES_RATING] [SL:RECIPES_DISH Hühnchensalat SL:RECIPES_DISH] IN:GET_RECIPES]
Wie brät man ein Steak medium well	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie SL:RECIPES_ATTRIBUTE] [SL:RECIPES_RATING medium SL:RECIPES_RATING] [SL:RECIPES_DISH Steak SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Auf welche Temperatur stelle ich meinen Ofen ein	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD Ofen SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Was ist die endgültige Kochzeit für Schweinefleisch	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Schweinefleisch SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie lange sollte ich dieses Hühnchen garen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie lange wird eine Ente gegart	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Ente SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie mache ich ein Chicken Française	[IN:GET_RECIPES [SL:RECIPES_DISH Chicken Française SL:RECIPES_DISH] IN:GET_RECIPES]
Wie brät man Lachs auf dem Grill	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Lachs SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_COOKING_METHOD Grill SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Ich möchte ein Rezept für Kürbiskuchen	[IN:GET_RECIPES [SL:RECIPES_DISH Kürbiskuchen SL:RECIPES_DISH] IN:GET_RECIPES]
Wie lang sollte ich ein Hühnchen im Ofen backen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lang SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD backen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_COOKING_METHOD Ofen SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Kürbis - Kasserolle - Rezept	[IN:GET_RECIPES [SL:RECIPES_DISH Kürbis - Kasserolle SL:RECIPES_DISH] IN:GET_RECIPES]
Werden noch Leute in Mexiko City vermisst	[IN:QUESTION_NEWS [SL:NEWS_TOPIC Leute in Mexiko City vermisst SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Haben meine Geschwister mir irgendetwas geschickt	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Geschwister SL:TYPE_RELATION] IN:GET_CONTACT] SL:SENDER] [SL:RECIPIENT mir SL:RECIPIENT] IN:GET_MESSAGE]
Ich möchte dem wild and out Thread schreiben	[IN:SEND_MESSAGE [SL:GROUP wild and out SL:GROUP] IN:SEND_MESSAGE]
Zeig mir die Textachrichten meiner Geschwister	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:TYPE_RELATION meiner SL:TYPE_RELATION]     [SL:CONTACT_RELATED Geschwister SL:CONTACT_RELATED] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Kannst du bitte eine Nachricht an die Code Blue Group schicken	[IN:SEND_MESSAGE [SL:GROUP Code Blue SL:GROUP] IN:SEND_MESSAGE]
Ich möchte dem Klassenkameraden - Thread gerne eine Nachricht schicken	[IN:SEND_MESSAGE [SL:GROUP Klassenkameraden SL:GROUP] IN:SEND_MESSAGE]
Schick das Video an Gavin , Danny und Tom	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Gavin SL:RECIPIENT] [SL:RECIPIENT Danny SL:RECIPIENT] [SL:RECIPIENT Tom SL:RECIPIENT] IN:SEND_MESSAGE]
Schick dem Radel - Thread eine Nachricht mit „ Wir plaudern später "	[IN:SEND_MESSAGE [SL:GROUP Radel - SL:GROUP] [SL:CONTENT_EXACT „ Wir plaudern später " SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Ich möchte die Nachricht gerne an den Star Wars - Thread schicken	[IN:SEND_MESSAGE [SL:GROUP Star Wars SL:GROUP] IN:SEND_MESSAGE]
Ich würde gerne Filby und Jake eine Nachricht schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Filby SL:RECIPIENT] [SL:RECIPIENT Jake SL:RECIPIENT] IN:SEND_MESSAGE]
Bitte schicke eine Nachricht in den Großeltern - Thread , dass ich auf dem Weg bin	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION Großeltern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT dass ich auf dem Weg bin SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Schreibe Josh Wu und Debbie , dass ich später mit ihnen spreche	[IN:SEND_MESSAGE [SL:RECIPIENT Josh Wu SL:RECIPIENT] [SL:RECIPIENT Debbie SL:RECIPIENT] [SL:CONTENT_EXACT dass ich später mit ihnen spreche SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Kannst du bitte eine Nachricht an Kelly und Adam Waverly schicken	[IN:SEND_MESSAGE [SL:RECIPIENT Kelly SL:RECIPIENT] [SL:RECIPIENT Adam Waverly SL:RECIPIENT] IN:SEND_MESSAGE]
Antworte im Thread Arbeitskollege mit Text	[IN:SEND_MESSAGE [SL:GROUP Arbeitskollege SL:GROUP] IN:SEND_MESSAGE]
Zeig mir meine Nachrichten von John Peterson , Steve und Leo	[IN:GET_MESSAGE [SL:RECIPIENT John Peterson SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] [SL:RECIPIENT Leo SL:RECIPIENT] IN:GET_MESSAGE]
Schreibe Robert und Sigourney dass ich auf dem Weg bin	[IN:SEND_MESSAGE [SL:RECIPIENT Robert SL:RECIPIENT] [SL:RECIPIENT Sigourney SL:RECIPIENT] [SL:CONTENT_EXACT ich auf dem Weg bin SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Würdest du Minerva und Ned schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Minerva SL:RECIPIENT] [SL:RECIPIENT Ned SL:RECIPIENT] IN:SEND_MESSAGE]
Ich möchte , dass du Celeste schreibst	[IN:SEND_MESSAGE [SL:RECIPIENT Celeste SL:RECIPIENT] IN:SEND_MESSAGE]
Bitte schick die Gruppe der Biologieklasse	[IN:SEND_MESSAGE [SL:GROUP Biologieklasse SL:GROUP] IN:SEND_MESSAGE]
Schicke eine Nachricht an den Chat der High School Freunde , in der steht , wir sprechen später	[IN:SEND_MESSAGE [SL:GROUP High School Freunde SL:GROUP] [SL:CONTENT_EXACT wir sprechen später SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Bitte schicke dieses Video an den Code - Blue - Thread	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:GROUP Code - Blue - SL:GROUP] IN:SEND_MESSAGE]
Kannst du Kyra und Phil Bradley eine Nachricht senden	[IN:SEND_MESSAGE [SL:RECIPIENT Kyra SL:RECIPIENT] [SL:RECIPIENT Phil Bradley SL:RECIPIENT] IN:SEND_MESSAGE]
Nenne mir meine Nachrichten von Stacey , Sarah und Mini Mouse	[IN:GET_MESSAGE [SL:RECIPIENT Stacey SL:RECIPIENT] [SL:RECIPIENT Sarah SL:RECIPIENT] [SL:RECIPIENT Mini Mouse SL:RECIPIENT] IN:GET_MESSAGE]
Sende eine Nachricht an die Alumni - Gruppe mit dem Inhalt klingt gut	[IN:SEND_MESSAGE [SL:GROUP Alumni SL:GROUP] [SL:CONTENT_EXACT klingt gut SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Haben mir die Fitnesskumpels seit Mittwoch geschrieben	[IN:GET_MESSAGE [SL:GROUP Fitnesskumpels SL:GROUP] [SL:RECIPIENT mir SL:RECIPIENT] [SL:DATE_TIME seit Mittwoch SL:DATE_TIME] IN:GET_MESSAGE]
Bitte schick das Video an Rebecca , Garrett und Steve	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Rebecca SL:RECIPIENT] [SL:RECIPIENT Garrett SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] IN:SEND_MESSAGE]
Ich würde gerne meinen Eltern eine Nachricht schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Eltern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Schauen wir uns mal Nachrichten von Amber an	[IN:GET_MESSAGE [SL:SENDER Amber SL:SENDER] IN:GET_MESSAGE]
Ich möchte Nachrichten von Enkel Cheyenne sehen	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT [SL:TYPE_RELATION Enkel SL:TYPE_RELATION] [SL:CONTACT Cheyenne SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Lass mich meine Nachrichten von Adriel sehen	[IN:GET_MESSAGE [SL:SENDER Adriel SL:SENDER] IN:GET_MESSAGE]
Sende eine Nachricht über Facebook	[IN:SEND_MESSAGE [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
Antworte mit einer Nachricht über Messenger	[IN:SEND_MESSAGE [SL:NAME_APP Messenger SL:NAME_APP] IN:SEND_MESSAGE]
Zeig mir Textnachrichten von Paul über WhatsApp	[IN:GET_MESSAGE [SL:RECIPIENT Paul SL:RECIPIENT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:GET_MESSAGE]
Wer schrieb mir bei Facebook	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir SL:RECIPIENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:GET_MESSAGE_CONTACT]
Schicke eine Facebook - Nachricht	[IN:SEND_MESSAGE [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
Ich möchte die WhatsApp - Nachricht verschicken	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp - SL:NAME_APP] IN:SEND_MESSAGE]
Bitte schreibe Paul bei Facebook , dass ich später mit ihm spreche	[IN:SEND_MESSAGE [SL:RECIPIENT Paul SL:RECIPIENT] [SL:NAME_APP Facebook SL:NAME_APP] [SL:CONTENT_EXACT ich später mit ihm spreche SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Ich würde gerne eine Nachricht an Jordan über WhatsApp senden	[IN:SEND_MESSAGE [SL:RECIPIENT Jordan SL:RECIPIENT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
Ich bitte dich diese Nachricht über WhatsApp zu verschicken	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
Hat Mikey mir irgendwas auf Facebook geschickt	[IN:GET_MESSAGE [SL:SENDER Mikey SL:SENDER] [SL:RECIPIENT mir SL:RECIPIENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:GET_MESSAGE]
Spiele die nationalen Hurrikancenter Live Nachrichten	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE nationalen Hurrikancenter SL:NEWS_SOURCE] [SL:NEWS_TYPE Live SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ruf Nick Mcgee an	[IN:CREATE_CALL [SL:CONTACT Nick Mcgee SL:CONTACT] IN:CREATE_CALL]
Ruf Janis Singleton an	[IN:CREATE_CALL [SL:CONTACT Janis Singleton SL:CONTACT] IN:CREATE_CALL]
Rufe Roberto Carlos an	[IN:CREATE_CALL [SL:CONTACT Roberto Carlos SL:CONTACT] IN:CREATE_CALL]
Ruf Christina an	[IN:CREATE_CALL [SL:CONTACT Christina SL:CONTACT] IN:CREATE_CALL]
Ruf Gabriel an	[IN:CREATE_CALL [SL:CONTACT Gabriel SL:CONTACT] IN:CREATE_CALL]
Rufe 6745557224 auf meinem Pixel an	[IN:CREATE_CALL [SL:PHONE_NUMBER 6745557224 SL:PHONE_NUMBER] IN:CREATE_CALL]
Kannst du mit WhatsApp die 7105553393 anrufen	[IN:CREATE_CALL [SL:PHONE_NUMBER 7105553393 SL:PHONE_NUMBER] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ruf die 7105553393 an	[IN:CREATE_CALL [SL:PHONE_NUMBER 7105553393 SL:PHONE_NUMBER] IN:CREATE_CALL]
Kannst du die 555 - 3726 vom Handy aus anrufen	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 3726 SL:PHONE_NUMBER] IN:CREATE_CALL]
Ruf die 3895555049 an	[IN:CREATE_CALL [SL:PHONE_NUMBER die 3895555049 SL:PHONE_NUMBER] IN:CREATE_CALL]
Wähle 5558156 auf dem Messenger über mein Handy	[IN:CREATE_CALL [SL:PHONE_NUMBER 5558156 SL:PHONE_NUMBER] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Ich brauche dich um Mateo für mich zu finden	[IN:GET_CONTACT [SL:CONTACT Mateo SL:CONTACT] IN:GET_CONTACT]
Ruf mein Geschwisterchen auf WhatsApp an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mein SL:CONTACT_RELATED]     [SL:TYPE_RELATION Geschwisterchen SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Wähle Selena Mills	[IN:CREATE_CALL [SL:CONTACT Selena Mills SL:CONTACT] IN:CREATE_CALL]
Initiiere einen Videoanruf mit meinen Freunden Viviana , Graham , Alex und Zion auf Skype	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Freunden SL:TYPE_RELATION]     [SL:CONTACT Viviana SL:CONTACT]     [SL:CONTACT Graham SL:CONTACT]     [SL:CONTACT Alex SL:CONTACT]     [SL:CONTACT Zion SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Skype SL:NAME_APP] IN:CREATE_CALL]
Würdest du Breanna und Jarrett Carter über WhatsApp anrufen	[IN:CREATE_CALL [SL:CONTACT Breanna SL:CONTACT] [SL:CONTACT Jarrett Carter SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Ruf meine Tante Zackary Conley und meine Mutter Angelo an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Tante SL:TYPE_RELATION]     [SL:CONTACT Zackary Conley SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Mutter SL:TYPE_RELATION]     [SL:CONTACT Angelo SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Beginne einen Anruf mit Elias Roach und Skylar Coffey	[IN:CREATE_CALL [SL:CONTACT Elias Roach SL:CONTACT] [SL:CONTACT Skylar Coffey SL:CONTACT] IN:CREATE_CALL]
Starte einen Videoanruf mit Byron Jacobs , Alexia Bates und Tommy Salazar	[IN:CREATE_CALL [SL:CONTACT Byron Jacobs SL:CONTACT] [SL:CONTACT Alexia Bates SL:CONTACT] [SL:CONTACT Tommy Salazar SL:CONTACT] IN:CREATE_CALL]
Starte einen Anruf mit Briana Sherman und Angelique Mcclure über Messenger	[IN:CREATE_CALL [SL:CONTACT Briana Sherman SL:CONTACT] [SL:CONTACT Angelique Mcclure SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Kannst du Tyree Payne , Jimmy George und Annika Everett anrufen	[IN:CREATE_CALL [SL:CONTACT Tyree Payne SL:CONTACT] [SL:CONTACT Jimmy George SL:CONTACT] [SL:CONTACT Annika Everett SL:CONTACT] IN:CREATE_CALL]
Starte einen Videochat mit Maddison Donovan , Evan Cote , Hugo Guzman und Patrick Chang	[IN:CREATE_CALL [SL:CONTACT Maddison Donovan SL:CONTACT] [SL:CONTACT Evan Cote SL:CONTACT] [SL:CONTACT Hugo Guzman SL:CONTACT] [SL:CONTACT Patrick Chang SL:CONTACT] IN:CREATE_CALL]
Beginne einen Anruf mit Hayden Greene , Danielle Kelly , Mary Brewer und Pamela Contreras über Hangouts	[IN:CREATE_CALL [SL:CONTACT Hayden Greene SL:CONTACT] [SL:CONTACT Danielle Kelly SL:CONTACT] [SL:CONTACT Mary Brewer SL:CONTACT] [SL:CONTACT Pamela Contreras SL:CONTACT] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Erstelle einen Anruf für mich , Corbin , Jordyn und Kiana	[IN:CREATE_CALL [SL:CONTACT Corbin SL:CONTACT] [SL:CONTACT Jordyn SL:CONTACT] [SL:CONTACT Kiana SL:CONTACT] IN:CREATE_CALL]
Führe einen Anruf mit Musikern durch	[IN:CREATE_CALL [SL:GROUP Musikern SL:GROUP] IN:CREATE_CALL]
Rufe Goth an	[IN:CREATE_CALL [SL:GROUP Goth SL:GROUP] IN:CREATE_CALL]
Ruf Favorit fünf Gruppe an	[IN:CREATE_CALL [SL:GROUP Favorit fünf SL:GROUP] IN:CREATE_CALL]
Rufe meine Los Angeles Gruppe über Skype an	[IN:CREATE_CALL [SL:GROUP Los Angeles SL:GROUP] [SL:NAME_APP Skype SL:NAME_APP] IN:CREATE_CALL]
Ich möchte einen Videoanruf mit meiner Asian Professionals Gruppe machen	[IN:CREATE_CALL [SL:GROUP Asian Professionals SL:GROUP] IN:CREATE_CALL]
Ruf Edgar , Jacquelyn , Moses und Colin an	[IN:CREATE_CALL [SL:CONTACT Edgar SL:CONTACT] [SL:CONTACT Jacquelyn SL:CONTACT] [SL:CONTACT Moses SL:CONTACT] [SL:CONTACT Colin SL:CONTACT] IN:CREATE_CALL]
Lass uns einen Anruf mit der Design - Code - Gruppe über Line machen	[IN:CREATE_CALL [SL:GROUP Design - Code - SL:GROUP] [SL:NAME_APP Line SL:NAME_APP] IN:CREATE_CALL]
Kannst du einen Videoanruf starten	[IN:CREATE_CALL  IN:CREATE_CALL]
Antworte interessiert auf das dritte Event	[IN:SET_RSVP_INTERESTED [SL:ORDINAL dritte SL:ORDINAL] IN:SET_RSVP_INTERESTED]
Antworte interessiert an Open Stage NYC	[IN:SET_RSVP_INTERESTED [SL:TITLE_EVENT Open Stage NYC SL:TITLE_EVENT] IN:SET_RSVP_INTERESTED]
Setze meinen Status für dieses Event auf interessiert	[IN:SET_RSVP_INTERESTED  IN:SET_RSVP_INTERESTED]
Setze meinen Status auf gehe zu dieser Veranstaltung	[IN:SET_RSVP_YES  IN:SET_RSVP_YES]
Ändere meinen Status zu gehe nicht zu diesem Event	[IN:SET_RSVP_NO  IN:SET_RSVP_NO]
Gehe nicht zu Paws to Party	[IN:SET_RSVP_NO [SL:TITLE_EVENT Paws to Party SL:TITLE_EVENT] IN:SET_RSVP_NO]
Markiere mich als interessiert für das vierte Event	[IN:SET_RSVP_INTERESTED [SL:ORDINAL vierte SL:ORDINAL] IN:SET_RSVP_INTERESTED]
gehe nicht zu diesem Event	[IN:SET_RSVP_NO  IN:SET_RSVP_NO]
Vielleicht möchte ich zum zweiten Event gehen	[IN:SET_RSVP_INTERESTED [SL:ORDINAL zweiten SL:ORDINAL] IN:SET_RSVP_INTERESTED]
Antworte bitte ja zum zweiten Event	[IN:SET_RSVP_YES [SL:ORDINAL zweiten SL:ORDINAL] IN:SET_RSVP_YES]
Markiere mich als vielleicht für das dritte Event	[IN:SET_RSVP_INTERESTED [SL:ORDINAL dritte SL:ORDINAL] IN:SET_RSVP_INTERESTED]
Markiere mich als interessiert für das Autumnal Gathering	[IN:SET_RSVP_INTERESTED [SL:TITLE_EVENT Autumnal Gathering SL:TITLE_EVENT] IN:SET_RSVP_INTERESTED]
Ich gehe nicht zu Po ' Boy Pop - Up	[IN:SET_RSVP_NO [SL:TITLE_EVENT Po ' Boy Pop - Up SL:TITLE_EVENT] IN:SET_RSVP_NO]
Ändere meinen Status zu gehe zum zweiten Event	[IN:SET_RSVP_YES [SL:ORDINAL zweiten SL:ORDINAL] IN:SET_RSVP_YES]
Markiere mich als gehe zu Bark in the Park	[IN:SET_RSVP_YES [SL:TITLE_EVENT Bark in the Park SL:TITLE_EVENT] IN:SET_RSVP_YES]
u.A.w.g . Ja zum Dia de los Muertos	[IN:SET_RSVP_YES [SL:TITLE_EVENT Dia de los Muertos SL:TITLE_EVENT] IN:SET_RSVP_YES]
Ändere meinen Status zu gehe nicht zu Burning Man	[IN:SET_RSVP_NO [SL:TITLE_EVENT Burning Man SL:TITLE_EVENT] IN:SET_RSVP_NO]
WhatsApp als mein Standard für Anrufe	[IN:SET_DEFAULT_PROVIDER_CALLING [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SET_DEFAULT_PROVIDER_CALLING]
Höre auf den Text zu schicken	[IN:CANCEL_MESSAGE  IN:CANCEL_MESSAGE]
Hat Lila Kiritsy mir Nachrichten geschickt ?	[IN:GET_MESSAGE [SL:CONTACT Lila Kiritsy SL:CONTACT] [SL:RECIPIENT mir SL:RECIPIENT] IN:GET_MESSAGE]
Rufe Graham an	[IN:CREATE_CALL [SL:CONTACT Graham SL:CONTACT] IN:CREATE_CALL]
Klingel Braxton Shah an	[IN:CREATE_CALL [SL:CONTACT Braxton Shah SL:CONTACT] IN:CREATE_CALL]
Beginne den Timer der eine Minute dauern wird	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME eine Minute SL:DATE_TIME] IN:CREATE_TIMER]
Zeige den Anruf im Vollbild an	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Verlängere den Timer um 8 Sekunden	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um 8 Sekunden SL:DATE_TIME] IN:ADD_TIME_TIMER]
Verlängere meinen Timer um 10 Minuten	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um 10 Minuten SL:DATE_TIME] IN:ADD_TIME_TIMER]
Stelle den Countdown bitte auf stumm	[IN:PAUSE_TIMER [SL:METHOD_TIMER Countdown SL:METHOD_TIMER] IN:PAUSE_TIMER]
Stelle einen Timer für neun Sekunden und einen für 5 Stunden und 15 Minuten	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für neun Sekunden SL:DATE_TIME] [SL:AMOUNT einen SL:AMOUNT] [SL:DATE_TIME für 5 Stunden und 15 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Stelle einen Timer für anderthalb Stunden und einen weiteren auf acht Sekunden	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für anderthalb Stunden SL:DATE_TIME] [SL:ORDINAL weiteren SL:ORDINAL] [SL:DATE_TIME auf acht Sekunden SL:DATE_TIME] IN:CREATE_TIMER]
Stele einen Timer auf 1628 Sekunden und einen auf 30 Minuten	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 1628 Sekunden SL:DATE_TIME] [SL:AMOUNT einen SL:AMOUNT] [SL:DATE_TIME auf 30 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Würdest du mich bitte nicht an meine Wecker erinnern	[IN:GET_ALARM  IN:GET_ALARM]
