llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
¿ Cuántos álbumes hay de The Judds ?	[IN:QUESTION_MUSIC [SL:MUSIC_TYPE álbumes SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME The Judds SL:MUSIC_ARTIST_NAME] IN:QUESTION_MUSIC]
reproduce la canción Happy	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TRACK_TITLE Happy SL:MUSIC_TRACK_TITLE] IN:PLAY_MUSIC]
Buscar género new age	[IN:PLAY_MUSIC [SL:MUSIC_GENRE new age SL:MUSIC_GENRE] IN:PLAY_MUSIC]
salta esta canción	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
Reproducir música jazz .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE música SL:MUSIC_GENRE] [SL:MUSIC_TYPE jazz SL:MUSIC_TYPE] IN:PLAY_MUSIC]
REPRODUCIR COUNTRY	[IN:PLAY_MUSIC [SL:MUSIC_GENRE COUNTRY SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Agrega a favoritos la pista actual	[IN:LIKE_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:LIKE_MUSIC]
¿ Cómo se llama esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Reproduce canciones de Broadway .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Broadway SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Puedo escuchar esa lista otra vez	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE lista SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Pon mis 5 canciones más tocadas .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Cómo se llama la canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
¿ Quién es el artista de esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE artista SL:MUSIC_TYPE] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Reproducir la canción de nuevo desde el principio .	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
nombre del álbum	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Quiero escuchar showtunes .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE showtunes SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Reproduce mi lista diaria en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_TYPE lista SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Busca la última canción de Kelly Clark .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kelly Clark SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Cómo se llama el último álbum de Pink .	[IN:QUESTION_MUSIC [SL:MUSIC_ARTIST_NAME Pink SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:QUESTION_MUSIC]
Me encanta esa canción , ponla otra vez	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
saltar la pista	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
Quién cantó No problem	[IN:QUESTION_MUSIC [SL:MUSIC_TRACK_TITLE No problem SL:MUSIC_TRACK_TITLE] IN:QUESTION_MUSIC]
reproducir solo canciones alegres	[IN:PLAY_MUSIC [SL:MUSIC_GENRE alegres SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
reproduce algunas showtunes	[IN:PLAY_MUSIC [SL:MUSIC_GENRE showtunes SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Quiero escuchar el último álbum de Chris Brown	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Chris Brown SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce los Alabama Shakes en Spotify .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Alabama Shakes SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
¿ Qué disco ha ganado más dinero en Estados Unidos este año ?	[IN:QUESTION_MUSIC [SL:MUSIC_TYPE disco SL:MUSIC_TYPE] IN:QUESTION_MUSIC]
Salta todas las canciones country .	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_GENRE country SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:SKIP_TRACK_MUSIC]
Reproduce el segundo álbum de Whitney Houston	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Whitney Houston SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Ponme una emisora country	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_GENRE country SL:MUSIC_GENRE] [SL:MUSIC_TYPE emisora SL:MUSIC_TYPE] IN:CREATE_PLAYLIST_MUSIC]
Pon música country , por favor .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE country SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Vamos a escuchar un poco de jazz	[IN:PLAY_MUSIC [SL:MUSIC_GENRE jazz SL:MUSIC_GENRE] IN:PLAY_MUSIC]
¡ Me encanta esta canción !	[IN:LIKE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:LIKE_MUSIC]
Reproducir música rap	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rap SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Por favor , pasa algo de música de los 80	[IN:PLAY_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] [SL:MUSIC_GENRE 80 SL:MUSIC_GENRE] IN:PLAY_MUSIC]
por favor reproducir todas las canciones de los 90 de Jimmy Ray	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jimmy Ray SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] [SL:MUSIC_GENRE 90 SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Reproducir a todo volumen	[IN:PLAY_MUSIC [SL:MUSIC_ALBUM_TITLE a todo volumen SL:MUSIC_ALBUM_TITLE] IN:PLAY_MUSIC]
Reproduce el nuevo ' single ' de Jeremy camp	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME ' single ' SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE Jeremy camp SL:MUSIC_TYPE] IN:PLAY_MUSIC]
No me gusta esa canción y no quiero escucharla	[IN:DISLIKE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:DISLIKE_MUSIC]
Pausa la canción actual .	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PAUSE_MUSIC]
reproduce la canción otra vez	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Elimina la lista de reproducción	[IN:DELETE_PLAYLIST_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:DELETE_PLAYLIST_MUSIC]
Pausa la pista actual	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:PAUSE_MUSIC]
Pon la lista de reproducción de cardio	[IN:PLAY_MUSIC [SL:MUSIC_PLAYLIST_TITLE cardio SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce una canción	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quiero escuchar música clásica .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE clásica SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Borra esta canción de mi lista de reproducción .	[IN:REMOVE_FROM_PLAYLIST_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:REMOVE_FROM_PLAYLIST_MUSIC]
Toca música instrumental	[IN:PLAY_MUSIC [SL:MUSIC_GENRE instrumental SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon música para hacer ejercicio	[IN:PLAY_MUSIC [SL:MUSIC_GENRE hacer ejercicio SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Crea una estación de la canción que acaba de sonar .	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_TYPE estación SL:MUSIC_TYPE] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:CREATE_PLAYLIST_MUSIC]
Por favor , reproducir música de los 80 .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE 80 SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce música " rhythm and blues "	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rhythm and blues SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
pon música en el tren	[IN:PLAY_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME tren SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Pon la lista de reproducción de Depeche Mode	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Depeche Mode SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Ponme el último disco de Justin Timberlake	[IN:PLAY_MUSIC [SL:MUSIC_TYPE disco SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Justin Timberlake SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
¿ Quién canta esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
reproduce música divertida para niños hoy para la fiesta infantil	[IN:PLAY_MUSIC [SL:MUSIC_GENRE divertida para niños SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pausa mi música .	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PAUSE_MUSIC]
¿ quién canta It Just Comes Natural ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TRACK_TITLE It Just Comes Natural SL:MUSIC_TRACK_TITLE] IN:GET_TRACK_INFO_MUSIC]
Elimina todas las canciones de rap .	[IN:REMOVE_FROM_PLAYLIST_MUSIC [SL:MUSIC_GENRE rap SL:MUSIC_GENRE] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:REMOVE_FROM_PLAYLIST_MUSIC]
Rebobinar la canción	[IN:REWIND_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REWIND_MUSIC]
Reproducir música nueva de Justin Timberlake	[IN:PLAY_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Justin Timberlake SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
¿ Cuáles son los músicos de jazz más populares de todos los tiempos ?	[IN:QUESTION_MUSIC [SL:MUSIC_GENRE jazz SL:MUSIC_GENRE] [SL:MUSIC_TYPE músicos SL:MUSIC_TYPE] IN:QUESTION_MUSIC]
Repite esa última canción .	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Quiero escuchar algo de hip hop y R & B	[IN:PLAY_MUSIC [SL:MUSIC_GENRE hip hop SL:MUSIC_GENRE] [SL:MUSIC_GENRE R & B SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Pon mi lista de reproducción favorita .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Ordena de forma aleatoria el nuevo álbum del Kings of Leon , por favor .	[IN:START_SHUFFLE_MUSIC [SL:MUSIC_ARTIST_NAME Kings of Leon SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:START_SHUFFLE_MUSIC]
Pon el primer álbum de los Beatles .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Beatles SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Ponme algo suave y relajante	[IN:PLAY_MUSIC [SL:MUSIC_GENRE suave y relajante SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Pon música que haga dormir a un bebé	[IN:PLAY_MUSIC [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
abre Pandora y pon mi estación	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_TYPE estación SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon el último álbum de Jay Z	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jay Z SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Estoy de humor para un poco de R & B	[IN:PLAY_MUSIC [SL:MUSIC_GENRE R & B SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Guarda esta canción en mi lista de reproducción buena	[IN:ADD_TO_PLAYLIST_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:ADD_TO_PLAYLIST_MUSIC]
Quiero escuchar el último álbum de Jay Z	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jay Z SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce mi estación de radio más escuchada en Pandora	[IN:PLAY_MUSIC [SL:MUSIC_TYPE estación de radio SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Quiero escuchar a ABBA .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME ABBA SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
repite la canción por favor	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Reproduce las canciones más populares de hoy .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Di me sobre esta canción .	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
cualquier canción de john lennon	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME john lennon SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Retomar pista	[IN:RESUME_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:RESUME_MUSIC]
quiero escuchar música Rock	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Rock SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Cuál es este artista	[IN:GET_TRACK_INFO_MUSIC  IN:GET_TRACK_INFO_MUSIC]
Reproduce la canción más nueva de Kanye West	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Kanye West SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
por favor , toca las canciones de Vybz Kartel	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Vybz Kartel SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon música alternativa	[IN:PLAY_MUSIC [SL:MUSIC_GENRE alternativa SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
pon los éxitos principales del Pop	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Pop SL:MUSIC_GENRE] [SL:MUSIC_TYPE éxitos SL:MUSIC_TYPE] IN:PLAY_MUSIC]
reproduce mi lista de reproducción de 2016	[IN:PLAY_MUSIC [SL:MUSIC_PLAYLIST_TITLE 2016 SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
reproduce más canciones de este álbum	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pasa para mí un rock clásico .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock clásico SL:MUSIC_GENRE] IN:PLAY_MUSIC]
¿ Está esta canción en el disco nuevo ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_TYPE disco SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Ponme dos canciones de los 80	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] [SL:MUSIC_GENRE 80 SL:MUSIC_GENRE] IN:PLAY_MUSIC]
ponme música de rock duro , por favor	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock duro SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproduce algunas de las canciones viejas de Janet Jackson	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Janet Jackson SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Reproducir reggae	[IN:PLAY_MUSIC [SL:MUSIC_GENRE reggae SL:MUSIC_GENRE] IN:PLAY_MUSIC]
¿ Qué canción viene de seguida ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:ORDINAL de seguida SL:ORDINAL] IN:GET_TRACK_INFO_MUSIC]
Quiero volver a reproducir la pista anterior	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL anterior SL:ORDINAL] [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Reproduce los mejores éxitos de Jimmy Buffett	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jimmy Buffett SL:MUSIC_ARTIST_NAME] [SL:MUSIC_GENRE mejores SL:MUSIC_GENRE] [SL:MUSIC_TYPE éxitos SL:MUSIC_TYPE] IN:PLAY_MUSIC]
quién tocó la última canción	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Reproduce esta canción otra vez .	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Nombre de esta melodía	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE melodía SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
Solo toca rock en este momento .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Escucha el nuevo álbum de Chris Brown	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Chris Brown SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
¿ Quién es el artista que canta esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
¿ Quién está tocando esta canción ?	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
reproduce mi lista de reproducción de rock en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock SL:MUSIC_GENRE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Pon Despacito a repetir	[IN:LOOP_MUSIC [SL:MUSIC_TRACK_TITLE Despacito SL:MUSIC_TRACK_TITLE] IN:LOOP_MUSIC]
¿ Por favor toca la nueva canción de Rihanna ?	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Rihanna SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Borra las primeras cinco pistas	[IN:REMOVE_FROM_PLAYLIST_MUSIC [SL:MUSIC_TYPE pistas SL:MUSIC_TYPE] IN:REMOVE_FROM_PLAYLIST_MUSIC]
última canción de nuevo , por favor	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL última SL:ORDINAL] [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Toca rock alternativo	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rock alternativo SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Pongamos algo de Selena Gomez .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Selena Gomez SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Por favor , toca algo de música pop .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE pop SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Pon música rap .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE rap SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Se puede reproducir Lady Gaga ahora en Spotify .	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_ARTIST_NAME Lady Gaga SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Reproduce esa canción otra vez .	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
TOCA ALGO LENTO .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE LENTO SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Pausa la canción	[IN:PAUSE_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] IN:PAUSE_MUSIC]
Quiero escuchar a Beyoncé	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Beyoncé SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
¿ Quién es el cantante ?	[IN:GET_TRACK_INFO_MUSIC  IN:GET_TRACK_INFO_MUSIC]
Reproduce las canciones de esta lista de reproducción en orden aleatorio	[IN:START_SHUFFLE_MUSIC [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:START_SHUFFLE_MUSIC]
Pon los temas más escuchados de música County .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE County SL:MUSIC_GENRE] [SL:MUSIC_TYPE temas más escuchados SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Retroceder 10 segundos .	[IN:REWIND_MUSIC [SL:MUSIC_REWIND_TIME 10 segundos SL:MUSIC_REWIND_TIME] IN:REWIND_MUSIC]
Reproduce una emisora de género country en Pandora .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE género country SL:MUSIC_GENRE] [SL:MUSIC_TYPE emisora SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Reproduce Chasing Cars de Snow Patrol en Pandora , por favor .	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Chasing Cars SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Snow Patrol SL:MUSIC_ARTIST_NAME] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Qué pista es esta	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE pista SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
reproduce Baby Einstein en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Baby Einstein SL:MUSIC_TRACK_TITLE] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Reproduce el álbum de Alicia Keys	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Alicia Keys SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE álbum SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Por favor , pon algo de música country .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE country SL:MUSIC_GENRE] [SL:MUSIC_TYPE música SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Quiero escuchar canciones de los cincuenta	[IN:PLAY_MUSIC [SL:MUSIC_TYPE canciones SL:MUSIC_TYPE] [SL:MUSIC_GENRE cincuenta SL:MUSIC_GENRE] IN:PLAY_MUSIC]
ponme MacArthur Park en Spotify	[IN:PLAY_MUSIC [SL:MUSIC_ALBUM_TITLE MacArthur Park SL:MUSIC_ALBUM_TITLE] [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Adicionar esta canción a la lista de reproducción de los chicos	[IN:ADD_TO_PLAYLIST_MUSIC [SL:MUSIC_TYPE canción SL:MUSIC_TYPE] [SL:MUSIC_PLAYLIST_TITLE chicos SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE lista de reproducción SL:MUSIC_TYPE] IN:ADD_TO_PLAYLIST_MUSIC]
Ponme la banda sonora de un videojuego .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE videojuego SL:MUSIC_GENRE] [SL:MUSIC_TYPE banda sonora SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Toca mi estación de rock en Pandora	[IN:PLAY_MUSIC [SL:MUSIC_PLAYLIST_TITLE rock SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE estación SL:MUSIC_TYPE] [SL:MUSIC_PROVIDER_NAME Pandora SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
